datetime,temperature_degC,probe_id
2022-12-21 00:57:14,37.81,TB
2022-12-21 00:57:14,35.44,TC
2022-12-21 01:02:14,34.06,TD
2022-12-21 01:02:14,38.63,TA
2022-12-21 01:02:15,37.81,TB
2022-12-21 01:02:15,35.50,TC
2022-12-21 01:07:15,34.06,TD
2022-12-21 01:07:15,38.69,TA
2022-12-21 01:07:16,37.75,TB
2022-12-21 01:07:16,35.50,TC
2022-12-21 01:12:16,34.13,TD
2022-12-21 01:12:16,38.69,TA
2022-12-21 01:12:16,37.69,TB
2022-12-21 01:12:17,35.38,TC
2022-12-21 01:17:17,34.06,TD
2022-12-21 01:17:17,38.69,TA
2022-12-21 01:17:17,37.63,TB
2022-12-21 01:17:18,35.38,TC
2022-12-21 01:22:18,34.06,TD
2022-12-21 01:22:18,38.63,TA
2022-12-21 01:22:18,37.75,TB
2022-12-21 01:22:19,35.44,TC
2022-12-21 01:27:19,34.06,TD
2022-12-21 01:27:19,38.69,TA
2022-12-21 01:27:19,37.81,TB
2022-12-21 01:27:20,35.44,TC
2022-12-21 01:32:20,34.06,TD
2022-12-21 01:32:20,38.69,TA
2022-12-21 01:32:20,37.81,TB
2022-12-21 01:32:21,35.50,TC
2022-12-21 01:37:21,34.13,TD
2022-12-21 01:37:21,38.69,TA
2022-12-21 01:37:21,37.94,TB
2022-12-21 01:37:22,35.50,TC
2022-12-21 01:42:22,34.13,TD
2022-12-21 01:42:22,38.69,TA
2022-12-21 01:42:22,37.94,TB
2022-12-21 01:42:23,35.44,TC
2022-12-21 01:47:23,34.06,TD
2022-12-21 01:47:23,38.69,TA
2022-12-21 01:47:23,38.00,TB
2022-12-21 01:47:24,35.50,TC
2022-12-21 01:52:24,34.13,TD
2022-12-21 01:52:24,38.69,TA
2022-12-21 01:52:24,38.00,TB
2022-12-21 01:52:25,35.50,TC
2022-12-21 01:57:25,34.13,TD
2022-12-21 01:57:25,38.69,TA
2022-12-21 01:57:25,38.00,TB
2022-12-21 01:57:26,35.50,TC
2022-12-21 02:02:26,34.06,TD
2022-12-21 02:02:26,38.75,TA
2022-12-21 02:02:26,38.00,TB
2022-12-21 02:02:27,35.44,TC
2022-12-21 02:07:27,34.06,TD
2022-12-21 02:07:27,38.75,TA
2022-12-21 02:07:27,37.94,TB
2022-12-21 02:07:27,35.50,TC
2022-12-21 02:12:28,34.06,TD
2022-12-21 02:12:28,38.75,TA
2022-12-21 02:12:28,38.00,TB
2022-12-21 02:12:28,35.44,TC
2022-12-21 02:17:29,34.06,TD
2022-12-21 02:17:29,38.75,TA
2022-12-21 02:17:29,38.00,TB
2022-12-21 02:17:29,35.50,TC
2022-12-21 02:22:30,34.06,TD
2022-12-21 02:22:30,38.81,TA
2022-12-21 02:22:30,38.06,TB
2022-12-21 02:22:30,35.50,TC
2022-12-21 02:27:31,34.06,TD
2022-12-21 02:27:31,38.75,TA
2022-12-21 02:27:31,37.94,TB
2022-12-21 02:27:31,35.50,TC
2022-12-21 02:32:32,34.06,TD
2022-12-21 02:32:32,38.75,TA
2022-12-21 02:32:32,38.00,TB
2022-12-21 02:32:32,35.50,TC
2022-12-21 02:37:33,34.06,TD
2022-12-21 02:37:33,38.75,TA
2022-12-21 02:37:33,38.06,TB
2022-12-21 02:37:33,35.44,TC
2022-12-21 02:42:34,34.06,TD
2022-12-21 02:42:34,38.75,TA
2022-12-21 02:42:34,38.06,TB
2022-12-21 02:42:34,35.44,TC
2022-12-21 02:47:35,34.06,TD
2022-12-21 02:47:35,38.81,TA
2022-12-21 02:47:35,38.06,TB
2022-12-21 02:47:35,35.44,TC
2022-12-21 02:52:36,34.06,TD
2022-12-21 02:52:36,38.81,TA
2022-12-21 02:52:36,38.06,TB
2022-12-21 02:52:36,35.44,TC
2022-12-21 02:57:37,34.13,TD
2022-12-21 02:57:37,38.81,TA
2022-12-21 02:57:37,38.06,TB
2022-12-21 02:57:37,35.56,TC
2022-12-21 03:02:38,34.06,TD
2022-12-21 03:02:38,38.81,TA
2022-12-21 03:02:38,38.06,TB
2022-12-21 03:02:38,35.56,TC
2022-12-21 03:07:39,34.06,TD
2022-12-21 03:07:39,38.81,TA
2022-12-21 03:07:39,38.06,TB
2022-12-21 03:07:39,35.50,TC
2022-12-21 03:12:40,34.13,TD
2022-12-21 03:12:40,38.81,TA
2022-12-21 03:12:40,38.06,TB
2022-12-21 03:12:40,35.44,TC
2022-12-21 03:17:41,34.13,TD
2022-12-21 03:17:41,38.81,TA
2022-12-21 03:17:41,38.06,TB
2022-12-21 03:17:41,35.44,TC
2022-12-21 03:22:42,34.13,TD
2022-12-21 03:22:42,38.81,TA
2022-12-21 03:22:42,38.06,TB
2022-12-21 03:22:42,35.44,TC
2022-12-21 03:27:43,34.13,TD
2022-12-21 03:27:43,38.75,TA
